# ----------------------------------------
# All Web Site Data
# Top Events
# 20180822-20180825
# ----------------------------------------

Event Label,Device Category,Total Events,Unique Events,Event Value,Avg. Value
ANGLE (NVIDIA GeForce GT 730 Direct3D11 vs_5_0 ps_5_0),desktop,14,7,0,0.00
ANGLE (NVIDIA GeForce GTX 760 Direct3D11 vs_5_0 ps_5_0),desktop,15,7,0,0.00
Intel(R) HD Graphics 4600,desktop,20,7,0,0.00
Intel(R) HD Graphics 520,desktop,14,7,0,0.00
Intel(R) Iris(TM) Pro Graphics 6200,desktop,21,7,0,0.00
Adreno (TM) 510,mobile,16,6,0,0.00
AMD Radeon HD 6770M OpenGL Engine,desktop,22,6,0,0.00
AMD Radeon Pro 450 OpenGL Engine,desktop,20,6,0,0.00
AMD Radeon Pro 570 OpenGL Engine,desktop,25,6,0,0.00
ANGLE (AMD Radeon R7 200 Series Direct3D11 vs_5_0 ps_5_0),desktop,16,6,0,0.00
ANGLE (Intel(R) HD Graphics 510 Direct3D11 vs_5_0 ps_5_0),desktop,12,6,0,0.00
ANGLE (Intel(R) HD Graphics 610 Direct3D11 vs_5_0 ps_5_0),desktop,21,6,0,0.00
ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),desktop,11,6,0,0.00
ANGLE (NVIDIA NVS 310 Direct3D11 vs_5_0 ps_5_0),desktop,26,6,0,0.00
ANGLE (NVIDIA Quadro 600 Direct3D11 vs_5_0 ps_5_0),desktop,19,6,0,0.00
Apple A10 GPU,tablet,14,6,0,0.00
Apple A8 GPU,tablet,17,6,0,0.00
Intel(R) HD Graphics 4000,desktop,15,6,0,0.00
Mesa DRI Intel(R) Bay Trail,desktop,13,6,0,0.00
Microsoft Basic Render Driver,desktop,8,6,0,0.00
AMD Radeon R9 M380 OpenGL Engine,desktop,10,5,0,0.00
ANGLE (AMD Radeon R7 Graphics Direct3D11 vs_5_0 ps_5_0),desktop,17,5,0,0.00
ANGLE (Intel(R) HD Graphics 3000 Direct3D11 vs_4_1 ps_4_1),desktop,9,5,0,0.00
ANGLE (NVIDIA GeForce GTX 1080 Ti Direct3D11 vs_5_0 ps_5_0),desktop,9,5,0,0.00
ATI Radeon HD 6770M OpenGL Engine,desktop,10,5,0,0.00
Intel(R) HD Graphics,desktop,9,5,0,0.00
Intel(R) HD Graphics Family,desktop,10,5,0,0.00
Mali-450 MP,mobile,7,5,0,0.00
Mali-450 MP,tablet,15,5,0,0.00
Adreno (TM) 430,mobile,10,4,0,0.00
Adreno (TM) 512,mobile,26,4,0,0.00
